first_name,count,prob
MARIE,810,3.6338761237649756e-05
GABRYELA,798,3.5800409219314206e-05
ZOE,796,3.571068388292494e-05
LEONTYNA,788,3.5351782537367914e-05
ROXANA,782,3.5082606528200135e-05
ALIONA,780,3.499288119181088e-05
MELISSA,779,3.4948018523616246e-05
CELESTYNA,772,3.463397984625384e-05
LEILA,771,3.458911717805921e-05
MONICA,770,3.4544254509864586e-05
GRACJANA,766,3.4364803837086065e-05
INGEBORGA,760,3.4095627827918287e-05
FATIMA,738,3.3108649127636445e-05
SŁAWA,733,3.28843357866633e-05
TAISA,733,3.28843357866633e-05
DOBRAWA,730,3.274974778207941e-05
AURORA,729,3.270488511388478e-05
CLARA,723,3.2435709104717006e-05
ŻANETTA,718,3.221139576374386e-05
MARGARETA,714,3.203194509096534e-05
LEONIA,709,3.180763174999219e-05
BERNARDETA,708,3.176276908179757e-05
ELA,707,3.1717906413602935e-05
BENITA,688,3.0865515717904976e-05
DZIYANA,686,3.077579038151572e-05
DOMICELA,676,3.0327163699569426e-05
LISA,676,3.0327163699569426e-05
MARGARYTA,675,3.0282301031374797e-05
NINO,669,3.001312502220702e-05
TEKLA,669,3.001312502220702e-05
KASANDRA,665,2.9833674349428505e-05
SILVIA,662,2.9699086344844616e-05
ORIANA,660,2.9609361008455355e-05
ORYSIA,659,2.9564498340260727e-05
MYLANA,655,2.938504766748221e-05
JESIKA,655,2.938504766748221e-05
INESA,653,2.9295322331092952e-05
IANA,647,2.9026146321925174e-05
KARIN,646,2.8981283653730545e-05
BERTA,646,2.8981283653730545e-05
ARYNA,638,2.862238230817351e-05
JASMINA,637,2.857751963997888e-05
TINA,636,2.8532656971784253e-05
NATALYA,635,2.8487794303589624e-05
EUNIKA,635,2.8487794303589624e-05
GIULIA,633,2.8398068967200364e-05
DAGNA,633,2.8398068967200364e-05
DOBROCHNA,631,2.8308343630811107e-05
JESSIKA,624,2.79943049534487e-05
INHA,622,2.7904579617059443e-05
ELISABETH,621,2.7859716948864814e-05
NATHALIE,620,2.7814854280670182e-05
YAUHENIYA,620,2.7814854280670182e-05
ELISA,619,2.7769991612475554e-05
SELENA,618,2.7725128944280925e-05
JASMIN,615,2.7590540939697036e-05
SOFIJA,609,2.732136493052926e-05
TAMAR,607,2.723163959414e-05
ZOYA,599,2.687273824858297e-05
NATASHA,598,2.6827875580388337e-05
SYLVIA,593,2.660356223941519e-05
NELLA,591,2.6513836903025933e-05
VALIANTSINA,590,2.6468974234831305e-05
NIKOLINA,589,2.6424111566636673e-05
TATYANA,589,2.6424111566636673e-05
SAMANTHA,586,2.6289523562052787e-05
LIA,580,2.602034755288501e-05
MELANIE,580,2.602034755288501e-05
LESYA,579,2.597548488469038e-05
LIZA,578,2.5930622216495752e-05
MIROSLAVA,575,2.5796034211911863e-05
CATHERINE,575,2.5796034211911863e-05
NELLI,574,2.5751171543717234e-05
CHARLOTTE,571,2.5616583539133345e-05
LILI,568,2.548199553454946e-05
LAILA,568,2.548199553454946e-05
LUCIA,567,2.543713286635483e-05
SUSANNA,564,2.5302544861770942e-05
MARIETA,557,2.4988506184408535e-05
BOZHENA,557,2.4988506184408535e-05
LETYCJA,552,2.476419284343539e-05
LESŁAWA,548,2.458474217065687e-05
NELL,547,2.4539879502462243e-05
ORYNA,547,2.4539879502462243e-05
JULITTA,544,2.4405291497878354e-05
VIVIEN,538,2.413611548871058e-05
CHRISTINA,533,2.3911802147737433e-05
MIRANDA,532,2.3866939479542804e-05
AUGUSTYNA,530,2.3777214143153543e-05
SAMIRA,530,2.3777214143153543e-05
KATHERINE,527,2.3642626138569658e-05
WILHELMINA,517,2.3193999456623362e-05
NOA,516,2.3149136788428733e-05
MIIA,514,2.3059411452039476e-05
ELMIRA,512,2.2969686115650216e-05
TEREZA,511,2.2924823447455587e-05
LUNA,509,2.2835098111066327e-05
ARIANNA,508,2.2790235442871698e-05
ARIADNA,507,2.274537277467707e-05
MARIJA,506,2.270051010648244e-05
KATHARINA,506,2.270051010648244e-05
NIKOLETA,505,2.2655647438287812e-05
SYLWESTRA,504,2.261078477009318e-05
JULIANA,502,2.2521059433703923e-05
KAREN,501,2.2476196765509295e-05
YAEL,500,2.2431334097314663e-05
ROZWITA,498,2.2341608760925406e-05
STANISLAVA,495,2.2207020756341517e-05
ROZA,494,2.2162158088146888e-05
MIŁOSŁAWA,494,2.2162158088146888e-05
ELZA,487,2.1848119410784485e-05
OXANA,486,2.1803256742589853e-05
LAYLA,486,2.1803256742589853e-05
AGNES,485,2.1758394074395224e-05
VALERIYA,485,2.1758394074395224e-05
YUSTYNA,483,2.1668668738005967e-05
ALEVTYNA,480,2.1534080733422078e-05
ERNESTYNA,479,2.148921806522745e-05
IZOLDA,476,2.135463006064356e-05
RADOSŁAWA,473,2.122004205605967e-05
DOBROMIŁA,473,2.122004205605967e-05
ANIA,473,2.122004205605967e-05
EMA,467,2.0950866046891896e-05
ANGELICA,463,2.077141537411338e-05
EUFEMIA,461,2.068169003772412e-05
JASMINE,459,2.059196470133486e-05
RYTA,456,2.0457376696750975e-05
CHRISTINE,455,2.0412514028556343e-05
RYMMA,452,2.0277926023972458e-05
LYUDMILA,452,2.0277926023972458e-05
PETRONELA,452,2.0277926023972458e-05
ALMA,451,2.0233063355777826e-05
HALSZKA,450,2.0188200687583197e-05
NEONILA,449,2.014333801938857e-05
AIDA,449,2.014333801938857e-05
CHIARA,447,2.005361268299931e-05
MARGOT,447,2.005361268299931e-05
LUDOMIRA,444,1.9919024678415422e-05
JACQUELINE,443,1.9874162010220794e-05
LIDIYA,441,1.9784436673831533e-05
SOLOMIYA,441,1.9784436673831533e-05
GAIA,434,1.947039799646913e-05
MATILDA,434,1.947039799646913e-05
INGRIDA,432,1.938067266007987e-05
ISABELLE,428,1.9201221987301352e-05
MARTHA,427,1.9156359319106723e-05
MARGARET,426,1.9111496650912095e-05
RUTH,426,1.9111496650912095e-05
MARYANA,426,1.9111496650912095e-05
YEVANHELINA,424,1.9021771314522834e-05
ISMENA,419,1.8797457973549688e-05
IEVGENIIA,415,1.861800730077117e-05
LUBOV,413,1.8528281964381913e-05
ANIDA,412,1.8483419296187285e-05
AMY,412,1.8483419296187285e-05
ISABEL,408,1.8303968623408767e-05
FRANCESCA,407,1.825910595521414e-05
JELENA,407,1.825910595521414e-05
FRYDERYKA,406,1.8214243287019506e-05
MICHAL,406,1.8214243287019506e-05
ZLATOSLAVA,404,1.812451795063025e-05
ANDŻELINA,404,1.812451795063025e-05
CHLOE,404,1.812451795063025e-05
AMIRA,403,1.807965528243562e-05
DEBORA,402,1.803479261424099e-05
ZENAIDA,401,1.798992994604636e-05
KSYMENA,401,1.798992994604636e-05
STEPHANIE,399,1.7900204609657103e-05
REHINA,398,1.785534194146247e-05
NASTIA,397,1.7810479273267842e-05
MARY,395,1.7720753936878585e-05
YASMIN,394,1.7675891268683957e-05
BETINA,393,1.7631028600489325e-05
BENIGNA,393,1.7631028600489325e-05
CYRYLA,392,1.7586165932294696e-05
DELFINA,391,1.7541303264100068e-05
INESSA,391,1.7541303264100068e-05
JESICA,391,1.7541303264100068e-05
HIACYNTA,390,1.749644059590544e-05
IRENE,386,1.731698992312692e-05
NARCYZA,384,1.722726458673766e-05
LUKRECJA,381,1.7092676582153775e-05
EMILIYA,379,1.7002951245764515e-05
PAOLA,377,1.6913225909375258e-05
